DATE,CUUS0000SA0
2009-01-01,213.139
2009-07-01,215.935
2010-01-01,217.535
2010-07-01,218.576
2011-01-01,223.598
2011-07-01,226.280
2012-01-01,228.850
2012-07-01,230.338
2013-01-01,232.366
2013-07-01,233.548
2014-01-01,236.384
2014-07-01,237.088
2015-01-01,236.265
2015-07-01,237.769
2016-01-01,238.778
2016-07-01,241.237
2017-01-01,244.076
2017-07-01,246.163
2018-01-01,250.089
2018-07-01,252.125
2019-01-01,254.412
2019-07-01,256.903
2020-01-01,257.557
2020-07-01,260.065
2021-01-01,266.236
2021-07-01,275.703
2022-01-01,288.347
2022-07-01,296.963
2023-01-01,302.408
2023-07-01,306.996
